"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","2871.23478559177","3235.96942338116","4005.49373027962","4831.89145175785","5463.17963211343","6125.73229074647","6864.82294560226","7954.84885118416","9321.81073915909","11396.5960848145","13418.4114820547","16050.6108890811","17781.7690876071","18600.3127473911","19323.504598333","19700.6896254403","20660.6776287569","22190.2138345487","21171.9523764246","22624.8578172106","23638.922947298","24611.1327347184","25280.6034021337","26816.4801397397","25418.2335962942","25496.2716945262","26465.3107236548","28132.1400568793","30922.3946982174","34594.4639815727","38747.4809971438","39952.8949263609","35322.1608766737","32871.6840620741","32214.2507966026","33797.4064292136","32925.283897612","34832.4381087231","36726.5373437547","39167.8295613244","39968.129504372","",
"Australia","AUS","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1613.7826221963","1673.56672708194","1653.13721839508","1753.33333333333","1899.70448643324","2033.1928345627","2089.26272422968","2299.77116704805","2428.17886585061","2666.39484628557","2945.71040217478","3115.40542629667","3375.04743113","3717.11509715994","4390.94950083801","5120.63629165767","5929.80830898596","6767.89740698985","7305.54394762502","8168.52693950668","9147.15491423904","10189.9242982515","11567.4001844775","12304.6392087969","13723.9449305198","14907.6659474553","16241.0103381112","17565.2211339224","19594.8512599654","21861.7375582834","23670.1806611154","23983.9736172182","24146.2703629608","25095.8283805966","26084.6821618594","27366.4785303232","28813.2270220086","29988.1730301885","31430.5488749933","32748.6526471521","34504.2029969195","36303.8170298254","38365.8670629065","40241.8649537079","42738.5057185727","45175.8291329162","48107.2475951667","52101.2982772859","55330.8830450088","58008.4548467847","58963.9497543318","63304.2739792938","65841.2608900579","66321.058655458","67975.6919563501","68080.4644105778","68604.455384827","71324.8510478476","",
"Austria","AUT","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1767.54658668792","1949.6079541662","2055.45595371805","2205.04015838767","2398.54708289999","2597.16982393762","2809.61781879595","2965.8762591504","3169.95356826864","3449.05559117625","3890.04417519766","4323.38065740308","4912.10969856185","5536.10898332018","6290.42059007996","6690.01015054553","7402.9126597295","8180.24496493989","8659.23135869288","9514.64299598976","10219.5475474781","10862.4872138053","11666.0074543116","12450.1316598584","13073.9077270264","13791.1647015824","14515.669158236","15061.6766777749","15773.2947746284","16796.391763469","17915.0017778415","19015.6586082254","19869.2990264018","20356.1154559034","21289.3262171757","22219.7499886139","22935.1036692094","23685.0889697982","24614.7428495351","25505.7953106005","26662.2630332197","27420.6721888894","28054.4947220085","28549.4869556727","29656.0533903347","30879.9599505532","32390.3831355116","34232.8268370501","35301.5743803758","34523.8965337912","35379.9290336805","36956.8462338067","37799.9264767898","38197.754835213","38981.0663164511","39832.2919726812","40774.9945402526","42045.6260288357","",
"Azerbaijan","AZE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0419052940354798","0.0687663320038509","0.650230289894338","4.18945963975984","49.3221008292747","277.657774886142","352.003091588304","402.934328453418","434.803487931252","472.90720616329","586.201326938846","655.340763388895","741.866996249365","867.91513340863","1026.93071690845","1492.22161978586","2209.45129676883","3304.91883514153","4580.09448387612","3979.04695334641","4690.02020248429","5677.69916370528","5889.08907521947","6178.53132926989","6189.15690158414","5635.6180178522","6192.49479289005","7117.40056076532","",
"Burundi","BDI","GDP per capita (current LCU)","NY.GDP.PCAP.CN","3517.45393032426","3574.36388645707","3689.08824748097","3945.01418001672","4330.15973182404","4358.59014463221","4591.7132586656","4824.02258734709","4833.7978664346","4906.90212406387","6146.27362031435","6311.33588235949","6093.42934786136","6805.97123367677","7513.84864525775","9029.75736852627","10342.0124669121","12896.0215053201","14032.5895658608","17547.7847462568","20106.6503563311","20651.236800574","21043.590393286","22626.2428271632","25850.6785390214","29517.0250694057","28338.1509904339","28029.5508824044","29588.2597125053","33473.9008762081","35801.1343544308","38234.6020821184","39850.637106773","39487.8326187173","39805.2873770332","41909.1855194968","43551.5845427133","56085.497334221","64690.7903074381","72528.1655820887","98009.9996937838","111053.308178111","113954.965290721","122172.985265736","140288.592278597","162763.971603423","170663.493907369","184799.736711282","232717.67687936","258157.73319711","285281.963013278","311774.368972748","361149.649506261","397127.722317047","423078.027333779","478445.320106243","465250.148777327","504893.068961534","",
"Belgium","BEL","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1578.69957040425","1673.52629784054","1783.00296922818","1902.61220934426","2109.38335419929","2275.16027687787","2426.41414042077","2586.31776524996","2754.5451341109","3046.71282533585","3446.67292351787","3769.21701507739","4203.07184087512","4760.65670128068","5566.19143121063","6142.34923015703","6968.69957274363","7527.42039506598","8076.22215645578","8629.90357197761","9375.03064637221","9829.56264652882","10639.5047412808","11272.6204198256","12179.0362859971","12949.275281316","13549.2429138102","14083.2141264331","15020.4549962511","16228.0830659256","17156.6977738079","17907.1080413327","18727.6887431736","19212.9987431175","20186.0514098863","20875.9737159941","21261.2107728178","22194.6039015857","22982.3989160844","23881.869107847","25189.3183758078","25838.3892784475","26620.6158359048","27239.0976484207","28663.9356147031","29725.3731098293","30969.2264607045","32441.3920965207","33059.4577596041","32305.0364595244","33509.0283349606","34344.7393539419","34888.1311238783","35157.7642073633","35693.1542055679","36455.8324158991","37476.3467462424","38572.8993894342","",
"Benin","BEN","GDP per capita (current LCU)","NY.GDP.PCAP.CN","22808.6633942282","23440.0362225538","23145.1241282099","24467.1205914288","25566.0812114626","26989.2415767472","27747.123977363","27540.1948300502","28939.0919511819","30161.953139991","31663.7983889244","30996.9057358599","33978.2118152812","36105.2361277269","41886.0235513953","44427.1584131277","49858.4922858783","53669.8030458674","59478.6207646105","69734.7518575243","79872.9636160891","91839.3218237713","106066.785539884","103318.135055665","110493.14680288","109804.818580152","105051.513086825","103535.781585324","103274.704698544","99427.9658615241","107186.89843278","108823.756777116","111485.058412698","116642.045810369","155272.157634813","183380.803456676","198192.242436693","210763.177810759","223852.699711681","248510.751192434","266416.116281634","277628.108902795","291827.96707073","301812.831632772","308206.292538688","317430.290426541","327240.359376582","338388.021655414","367268.121251257","374657.367162207","375269.355933994","389734.400952477","427796.438747024","452208.721897883","466572.79799415","463674.570383829","467606.204318535","481621.392849767","",
"Burkina Faso","BFA","GDP per capita (current LCU)","NY.GDP.PCAP.CN","16777.4130679305","17550.3664052891","18748.6057771203","19202.4350906685","19718.0086646309","20027.6303559316","20279.6799992695","20753.4145021756","20976.9034683397","22491.8373408652","22526.8246453081","23209.1893061112","25033.0859529837","25360.4520407528","29933.7906812222","32731.627764522","37192.390322212","43432.0670549084","50985.0443566113","55749.2280926954","59725.7008112307","69082.4859559409","80539.6388086203","83070.3877246743","84701.0832077896","90254.4108514764","88918.3059010977","87495.7814628935","93244.9207514565","97250.7467694846","95831.5447426488","97724.8409296532","95566.1165568279","94843.3680545232","107193.483316199","117715.263950664","127560.857073031","133948.087383431","150861.40650453","164510.871643235","161477.374714657","172624.139788174","181749.111290073","193158.609807437","196164.342478061","214678.887462533","219918.437662632","227704.407676638","255142.063235216","260998.821816039","285005.392747823","314659.383615273","344004.809303071","345720.070547621","347979.98427952","340269.446265352","346216.510053156","373726.357006806","",
"Bangladesh","BGD","GDP per capita (current LCU)","NY.GDP.PCAP.CN","425.717827937977","466.285123393512","477.968244529698","486.050377236593","477.618567461864","507.788037827391","535.96149081225","583.978071430228","583.338732047934","641.162121862024","663.590256822025","632.427688392747","558.149220673496","916.024565597463","1426.27298759867","2420.88637573628","2058.09467388765","1992.67926939439","2606.91020411989","2989.85676171378","3446.34879268489","3952.16183300043","4316.4808823099","4736.23869490181","5213.36587710568","6215.01973205648","6822.6907670644","7659.24167122711","8212.5512628972","8917.9522103021","9789.98747154145","10164.7041291291","10748.1005428983","11026.8076984364","11655.1633598267","12848.269756011","15662.0727305667","16632.6590590389","17946.5047144096","19104.8198356144","20405.9023823023","21724.1942935784","23007.2375854504","25055.5821502415","27124.818557918","29775.5575340665","33180.407844081","37365.9591481647","42248.4970916526","46862.7276189988","52418.2324782962","59503.437017833","67759.8412480072","76087.6652499619","84292.9674869802","94031.8839190499","106342.271286019","119986.529887933","",
"Bulgaria","BGR","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2.91044384522546","3.12874074202375","3.25350601634524","3.33506418197043","3.53443081712893","3.63764622851708","3.84272637796264","4.0719917684712","4.26936820641131","4.45863747232728","5.2063656068295","15.7199062551442","23.5124290353206","35.2796219875257","62.2483964464882","104.431953730561","215.058880813735","2265.36885886882","3185.76744026065","3028.72229930393","3418.26340987681","3839.48742574423","4313.57732730003","4675.90623519757","5298.32081960798","6091.02631528095","7001.57163076228","8411.02148107878","9710.41810670611","9804.07802168678","10110.2425915737","10990.1191128104","11229.3536391469","11268.3832258677","11594.2301830387","12339.8315768298","13205.9975684017","14279.7140792603","",
"Bahrain","BHR","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","3217.94558307029","3485.24537581525","3551.7554087317","3542.40340619593","3606.09684524847","3273.72863171447","2647.63012074319","2840.70512035245","2992.46348897898","3019.60132199796","3206.89773375732","3404.902258884","3415.11067948544","3646.49868615643","3809.03531372592","3901.72751770005","3964.7948391824","4012.74116282588","3788.64660698515","3910.95664878367","5127.2663531012","4838.44733488257","4926.47779766795","5347.46921515171","5958.27512990331","6752.65113004517","7259.80630499972","7887.39355781641","8673.40457029042","7278.10880577606","7791.51106247109","8464.57201105558","8892.16184683018","9301.17659043447","9393.75050976619","8531.0182198556","8508.48775339942","8925.92309712552","",
