country;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Chile;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43.441276;37.222834;30.50468;28.167031;22.728047;17.336256;14.687523;12.903743;12.179663;13.365684;13.219169;14.458544;15.167609;12.716823;10.299074;7.0006493;4.9891997;3.878696;4.9207914;5.8203309;8.5599076;11.088427;11.945499;12.732334;14.957173;17.275339;21.019381;23.539494;25.559993
China, People's Republic of;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.447244;21.258709;20.4482;20.496316;21.687536;22.808927;24.384242;25.710949;26.574009;26.168363;26.09848;25.381947;29.035541;27.000202;34.346405;33.74233;33.637608;34.269157;36.996921;39.919725;41.066496;44.176915;46.786661;50.640453
Colombia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.355996;25.338873;27.536205;34.08493;38.102205;41.219158;47.688796;45.175425;41.607226;38.648685;36.064913;32.73866;32.446147;35.372096;36.55563;35.835898;33.998408;37.616859;43.318894;50.419035;49.796317;49.451194;52.158838
Congo, Dem. Rep. of the;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.8185;22.8385;27.6462;31.3345;37.3196;39.876;47.8222;38.8873;36.3547;31.4369;33.2162;39.5615;39.0122;83.8047;59.2411;72.9381;78.4661;98.4783;86.5102;98.5557;120.533;119.099;123.159;97.6766;162.721;171.187;129.964;136.934;257.925;NA;134.98226;181.61672;136.04229;114.46404;141.75897;101.47235;103.18074;84.948372;87.840915;91.259677;30.572422;24.962547;21.784289;19.119193;16.802801;16.994646;21.747563;19.052967;15.297901
Costa Rica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.243126;28.49442;30.346464;34.67769;36.244712;38.913208;41.427106;45.697597;49.343312;54.246047
Croatia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.521314;21.867243;28.126841;33.213125;34.599854;36.613381;38.093321;40.278692;41.16544;38.652243;37.259669;39.000342;48.297839;57.3479;63.869109;69.486528;80.399295;83.992623;83.733658;80.480551;77.757944;74.566903
Cyprus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.428949;8.715105;9.90906;10.3789;13.64084;15.247715;20.030771;18.442211;21.361117;23.361212;27.84964;30.743221;33.161704;41.719723;42.957887;44.005368;47.085017;47.966341;48.758337;47.475599;47.15125;52.935268;52.136104;54.532256;49.866856;45.819794;47.092639;50.963393;54.657028;54.843973;55.73604;57.322074;60.519472;63.837183;64.765688;63.437055;59.260463;54.032231;45.55678;54.296617;56.757095;66.180221;80.137192;103.11916;107.97174;107.99016;105.51154;95.752369;102.53438
Czech Republic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.655987;11.646709;12.270278;14.022435;15.255102;17.038715;22.801579;25.921897;28.300316;28.53146;27.881416;27.703073;27.464892;28.250148;33.560477;37.354661;39.826217;44.469658;44.908602;42.169378;39.955215;36.805509;34.662957;32.56073
Denmark;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.584231;10.719151;9.3868134;7.4261562;6.9683524;11.178656;13.725937;16.942052;20.553993;25.337861;45.547067;55.560916;67.54687;78.657407;80.016455;77.5581;75.020484;71.725947;70.137824;68.254353;69.389719;70.22334;66.770313;78.627004;75.236865;71.392681;68.260994;64.278279;60.279497;56.764082;52.354303;48.508304;49.080957;46.150098;44.155917;37.412255;31.549404;27.345952;33.313183;40.181797;42.58788;46.070886;44.894201;44.04561;44.270265;39.773694;37.197603;35.483849;34.254863
Egypt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48.783376;50.934511;50.490213;53.12886;52.420768;72.140081;71.523873;74.498042;97.732599;122.00954;115.74193;121.40054;127.75311;117.92797;116.99225;113.91374;116.04047;95.642881;90.254653;83.22475;86.931991;122.41254;129.83197;113.4031;105.73819;97.494247;88.13897;80.198032;76.416727;73.303935;69.469755;76.625465;85.776013;97.094864;96.511849;98.262557;85.924229;76.267557;66.760615;69.450038;69.589541;72.829976;73.799606;84.020587;85.126573;88.457949;96.840891;103.16105;92.652139
El Salvador;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43.32924;36.360826;31.868476;30.549325;28.040964;28.547949;27.79086;25.652233;27.994903;29.551306;36.46886;42.316168;44.471821;45.358731;44.832629;45.332823;44.945991;46.769631;56.593669;57.660688;56.99675;61.470145;60.917304;63.041211;64.325217;65.471666;67.321565;67.070026
Estonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.6688855;7.3068312;6.0413249;5.406063;5.9274594;5.1069862;4.7681634;5.6583718;5.5980877;5.1134178;4.702522;4.6318249;3.7655332;4.5040686;7.1989372;6.6062979;6.1048654;9.7641372;10.162141;10.447973;9.791543;9.1584488;9.1550996;8.2651389
