country;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Marshall Islands;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.9073323;18.4888;27.047724;27.934487;34.367606;38.783705;44.53951;46.861629;44.993433;43.287455;41.188447;41.605374;40.229391;37.156179;35.255212;36.368534;32.323474;35.108408;34.286333;29.806703;27.229889;25.240925
Mauritius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16.321232;18.960707;20.903812;16.682629;23.990984;23.653183;19.17248;27.337961;36.257288;41.135336;46.401253;51.082044;59.101086;56.051552;57.978995;65.366526;57.933626;49.323628;46.242244;44.08213;47.344783;40.663748;37.21349;34.550151;39.792253;46.067519;43.525031;44.561439;44.02039;44.655869;60.534622;61.306665;67.593589;71.739947;61.965905;62.480493;60.118803;53.703274;50.067721;59.201764;57.154603;57.332442;56.768688;59.059821;61.998357;66.92616;66.726392;66.086688;67.440949
Micronesia, Fed. States of;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53.989558;43.852804;47.169863;42.125903;35.805306;26.983779;23.601497;23.956473;24.574076;25.337565;24.69079;25.011068;25.657377;28.943634;30.757054;28.855214;28.379939;27.082389;27.737655;28.224119;25.743126;24.252962;22.14961;20.278273
Moldova;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.223777;72.899162;74.196394;132.82182;125.59713;74.242076;71.1395;66.942092;56.707506;41.106022;33.679351;29.149357;23.56004;18.493345;27.17068;25.474634;24.200729;25.891852;24.913112;30.289292;37.757895;35.631915;31.752561;29.669149
Mongolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49.423447;57.072747;62.109507;87.590208;81.616233;NA
Montenegro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76.708061;40.897099;45.371534;38.568239;36.691669;31.757518;34.184547;43.688695;45.006704;48.571711;56.86997;58.653721;63.359791;68.95069;66.576873;66.303102;72.570456
Nauru;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;247.9704;243.2484;188.19634;127.55223;121.69304;83.866411;81.686104;61.231208;59.354951;58.255928
Netherlands;143.94278;124.11182;112.01326;106.40042;92.998757;83.981237;78.593399;76.157215;78.658202;76.989457;69.964632;69.11196;66.89399;64.706874;59.889802;58.468278;58.250412;57.668862;57.037679;48.255931;46.152983;43.723878;41.388201;38.398534;35.595721;36.249711;35.408867;35.31544;38.398534;39.519659;43.62172;46.947669;52.52255;58.489876;62.010042;67.193633;69.052297;71.399353;73.804917;73.851149;75.132831;74.92668;75.703043;76.779873;73.607237;72.212158;70.482989;64.852349;61.663222;57.531964;50.901867;48.159815;47.534507;48.716094;49.112767;48.47454;44.06873;41.972964;53.790494;55.832354;59.400301;61.830773;66.42888;67.833929;68.012985;64.632149;61.887491;56.906899;52.388058
Nicaragua;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86.40458;86.469963;99.826428;95.219355;87.475546;110.38549;109.54021;84.047522;66.607603;51.15567;30.916019;25.999247;29.258146;30.34714;28.794343;27.85246;28.835446;28.689616;28.910783;30.915916;33.938327;37.206146
Nigeria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.5863;17.697474;18.584656;17.54075;20.328343;23.410089;25.340444;27.260396
North Macedonia ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53.248525;21.316747;23.486779;29.337176;33.102896;30.445276;45.560813;45.2145;40.464236;36.461255;34.580017;36.66909;30.58568;23.531595;20.641671;23.565821;24.062033;27.728043;33.661899;33.968969;38.015266;38.053589;39.809509;39.484324;40.467482
Norway;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41.067533;41.071231;41.565189;40.263603;37.786654;39.081736;40.791258;46.571401;52.345612;55.73186;46.709936;42.509392;37.702657;34.682551;34.493509;36.167683;45.056645;37.732967;31.767529;31.67798;28.353386;38.440585;44.076563;52.556469;49.609504;32.069444;27.840762;25.171115;22.940169;24.320666;28.110466;26.705836;33.475035;42.649615;43.447241;41.986032;52.307996;49.194506;47.233334;41.992669;42.34304;28.874885;30.036281;30.394712;28.448007;32.943887;36.419972;36.86202;39.967798
Panama;13.47352;12.552143;12.536232;13.094017;13.476563;16.048265;15.716753;16.514241;19.916143;21.64974;22.919673;27.194307;25.931062;24.986595;25.765646;25.564479;33.198887;35.656301;38.17042;30.198858;32.313293;35.336182;37.849206;40.965862;43.834618;38.00954;52;55.072691;63.101908;69.016112;74.890953;76.542305;80.860285;86.574746;82.536475;82.541651;83.990594;92.204033;105.03539;104.40368;112.6521;107.47022;94.553269;86.596564;81.22057;79.463275;67.402994;62.385779;60.255253;57.157716;55.537988;59.928144;59.057096;58.532915;60.921419;61.490849;56.733855;49.167826;41.490821;40.490139;39.497442;36.942574;35.283932;34.393896;36.519294;37.385037;37.270289;37.52722;39.484779
Peru;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51.464262;48.304296;47.440949;48.81299;48.84523;44.68555;41.848239;33.81814;29.574986;26.416772;26.735572;23.584582;21.412234;19.77072;18.928181;19.351197;22.656441;23.179433;23.424572;23.698353
Philippines;10.887489;10.395683;9.7376808;12.717706;12.167466;13.14629;14.496651;13.735405;16.02595;16.793346;14.233331;14.215032;13.682899;12.158177;12.168387;12.999264;13.141383;13.32308;13.864493;14.984805;14.554895;13.947178;15.836163;14.248537;12.762901;12.821231;16.456817;19.095169;22.079258;21.303279;23.360178;25.833356;30.468206;39.441877;41.401046;48.810323;70.320509;71.979466;62.702018;56.809849;57.801284;57.214595;55.496096;70.645438;65.53445;62.718475;54.726685;58.681796;52.380388;55.945603;61.134564;61.544618;67.547236;74.056948;73.906881;67.402743;59.735194;52.391311;52.143018;52.065779;49.679357;47.475582;47.852196;45.740867;42.064116;41.491065;39.02485;39.914147;38.921843
Poland;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90.149426;77.329799;82.365418;84.345194;64.606001;48.988515;43.389788;42.9259;38.889376;39.566854;36.583161;37.351786;41.77868;46.587779;45.043324;46.441196;46.948011;44.156111;46.294554;49.433322;53.127048;54.103591;53.715888;55.691804;50.414431;51.285682;54.22872;50.556219;48.890284
Portugal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20.635617;20.321367;19.012819;17.807627;17.44449;25.295266;30.799261;32.228375;36.162044;24.676962;35.003225;43.195183;47.219185;51.297746;56.889379;61.245985;60.809117;58.211556;57.798145;56.318197;56.434349;59.904427;54.449933;53.639549;56.62963;58.310476;59.510448;55.198327;51.842153;51.064645;50.337034;53.436936;56.212966;58.689144;62.039486;67.434361;69.169808;68.432999;71.574181;83.624558;90.686922;111.43427;126.2992;128.87078;130.61186;128.83911;129.207;123.91355;120.1252
Romania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.9057355;10.994867;15.030701;16.466335;21.721897;22.486587;25.869442;24.820797;22.109332;18.945246;15.90511;12.423584;11.949157;12.336186;21.780735;29.633543;33.966646;37.012906;37.592063;39.216151;37.770967;37.320597;35.152229;35.001083
Russian Federation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;135.05621;92.285804;55.811757;44.393079;37.539081;28.305457;20.806777;14.835566;9.793958;8.0245501;7.4386927;9.9081359;10.909248;11.173767;11.92056;13.113167;16.069358;16.383108;16.078181;15.464552;14.604868
Saint Kitts and Nevis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48.857714;66.522703;77.416143;89.184837;93.795709;105.83452;120.33685;141.26229;153.77572;157.2966;141.91953;133.99591;129.02249;136.61028;145.12031;135.02053;126.50941;94.866533;82.894419;72.618368;65.794327;64.331272;60.496836
Saint Vincent and the Grenadines;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58.259969;56.222862;53.548895;51.935518;57.048758;50.549114;43.937525;41.900184;42.699243;57.085168;58.609035;56.490702;55.392734;53.910239;62.018988;65.445287;64.103544;52.848478;56.743289;63.576534;65.448767;68.770762;72.45554;74.974408;79.420174;79.359774;82.434044;73.499843;74.483539
Serbia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;224.75085;106.30484;76.120277;71.758873;62.178368;51.311747;37.971859;31.204315;30.556265;33.925391;41.214991;43.967541;54.439622;57.508201;67.586455;71.281849;68.877721;58.727039;54.547455
Slovak Republic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27.729313;24.356702;21.671967;30.500421;32.980553;33.861011;47.079965;49.623748;48.281289;42.882204;41.588676;40.639242;34.119143;30.975;30.100914;28.461446;36.2944;41.200669;43.675666;52.164889;54.73926;53.523763;52.180868;51.773014;50.949549;48.93628
Slovenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18.241042;21.56117;22.058324;22.730234;23.710425;25.917754;26.062409;27.35789;26.768515;26.889555;26.389042;26.070295;22.880807;21.817659;34.552847;38.245073;46.422693;53.523403;69.964037;80.298823;82.587523;78.662558;74.113164;70.444631
Spain;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16.166632;19.522135;24.519244;29.626344;36.157702;41.018505;42.230255;42.07148;38.645518;40.018382;41.458332;42.019898;44.297598;54.770806;57.231633;61.816192;65.855634;64.568444;62.623105;60.913463;57.958568;54.162724;51.26805;47.640122;45.261073;42.283845;38.906586;35.510359;39.398089;52.703694;60.064564;69.459659;85.736601;95.450674;100.3665;99.33118;98.970047;98.122836;97.091578
Sweden;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28.066444;28.430205;28.286972;27.61213;27.967332;27.182137;25.359221;27.520823;31.788165;36.425877;40.673765;47.032044;55.568559;58.544251;60.026076;60.330566;59.489021;53.053007;47.609435;43.421055;39.298301;46.475666;59.179782;66.252957;68.678501;68.817659;69.150117;67.87548;65.589206;60.459863;50.517118;52.058779;50.050782;49.577532;48.792138;49.0766;43.964786;39.238886;37.677366;40.872276;38.102789;37.236666;37.65461;40.361115;45.004755;43.696585;42.070778;40.447033;38.461236
Switzerland;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34.292568;33.977696;33.376288;32.061037;31.130857;29.823813;27.730626;34.349774;36.139657;40.677816;45.687569;48.458152;51.501985;52.892849;55.218948;57.53563;54.148536;53.473408;52.414946;59.114738;58.209856;59.159705;56.098942;49.617844;45.464713;45.868071;44.072462;42.550271;42.872793;43.668224;42.915747;42.972079;43.00608;41.760407;42.640396;40.52929
Taiwan Province of China;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24.947836;23.649266;23.663344;26.169751;30.010556;29.639497;32.027302;33.292431;33.911229;33.117287;32.053063;33.262251;36.591243;36.736056;38.208689;39.180503;38.99688;37.828558;36.550947;36.169297;35.489999;35.060211
Tajikistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;96.566524;107.80669;111.42891;99.448644;93.538469;65.836045;48.141171;45.843282;34.332486;31.279735;28.109547;36.396958;36.620746;35.293133;32.260889;29.084181;27.650708;34.690663;42.092659;50.391786;47.920464
Tanzania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.2806162;43.681269;42.882391;42.824613;40.810582;41.23219;40.71055;39.877206;41.356259;40.747265;43.143022;41.849846;39.630641;40.424747;43.491397;51.643913;39.686307;71.155393;78.563617;88.132339;124.76438;106.50866;117.59618;129.18751;126.01806;111.11086;89.638998;73.374757;62.20048;62.886944;55.359557;50.770359;47.371423;44.375818;44.521628;46.09135;32.375203;21.291614;21.209749;24.013389;26.954569;27.447278;28.737134;30.043956;32.614935;35.864282;36.444268;36.617316;37.293051
Thailand;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.896613;23.992813;22.899202;22.079366;26.795897;27.782025;27.315354;28.516681;29.638856;29.951169;32.216969;30.766442;32.604869;34.067981
Turkey;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51.567291;76.074621;72.057773;65.738257;57.736297;50.764214;44.680777;38.168419;38.149733;43.856643;40.08262;36.479192;32.724414;31.38166;28.768639;27.642943;28.311011;28.223778;30.169252
Turkmenistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.652359;64.409923;52.61403;43.5079;26.899118;19.077586;13.34975;9.0075535;5.3788485;3.3344282;2.4155014;2.8091011;2.4359879;4.0350729;10.048119;18.066189;19.985476;16.812931;21.816341;24.068324;28.820096;29.139628
Ukraine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30.151822;24.36603;28.891838;46.537366;58.958847;43.789532;36.690024;33.579562;29.380226;24.798092;17.740632;14.800602;12.266637;20.412978;35.424768;40.625843;36.875672;37.541538;40.518808;70.316871;79.502809;81.175668;71.619552;60.209287
United Arab Emirates;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.74146816;1.1435275;1.8348129;3.2722727;3.7648949;3.5741677;3.8193691;2.5688079;2.3620725;2.6037501;3.1968304;3.5831123;4.0156589;5.5277902;5.4537944;5.7784705;5.3637094;4.4392743;4.9209253;5.2866175;5.8652886;5.577984;5.0455617;3.5739611;2.8952247;4.2917678;4.815315;3.0926578;2.6896885;3.5945982;4.4036905;5.6400573;6.6315136;6.8415384;7.8525371;12.532232;24.083591;21.949196;17.44466;16.986023;15.759107;15.539462;18.690121;20.216694;20.001339;19.140512
United Kingdom;180.97238;163.14987;151.04636;141.71357;136.65375;128.31617;119.74728;113.31301;109.58829;103.97986;98.524215;94.715177;91.525625;89.747092;83.13946;77.689488;75.118843;71.883888;70.97976;66.051162;73.437493;67.950784;65.053724;58.551283;45.052302;44.421703;44.1079;44.105547;42.794997;40.104145;40.692486;38.608274;38.853106;39.209191;39.553257;39.920208;40.202682;38.629035;33.735511;29.411247;27.201001;28.135444;32.96175;37.714638;40.941321;43.451548;43.419317;41.75349;41.182541;39.832111;37.007053;34.319306;34.4039;35.588694;38.594467;39.790445;40.710157;41.743835;49.687618;63.738532;75.235501;80.799138;84.087801;85.150115;87.013629;87.875553;87.90916;87.141087;86.769145
United States;83.126037;72.955032;72.525492;71.753219;73.568066;68.498633;64.726033;62.329546;64.927332;62.335885;60.832947;61.393351;59.371678;57.954916;55.988829;53.060492;50.144581;50.395849;48.73687;45.939659;46.228617;46.639114;45.073158;42.257212;41.160763;44.419521;44.598714;43.301052;42.086737;40.668018;41.268459;40.390362;45.01271;47.920336;49.568908;54.205577;57.663935;59.466124;60.338227;60.455952;62.162725;66.545629;68.809346;70.796786;69.579457;69.110259;68.234457;65.839581;62.603912;59.034234;53.162007;53.1464;55.504437;58.585002;66.078596;65.435157;64.167012;64.636326;73.665513;86.690692;95.39652;99.738216;103.21615;104.75012;104.40785;104.65033;106.81879;105.98843;106.90855
Uzbekistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20.883375;21.269662;31.235133;46.632376;43.065534;32.512551;27.799844;21.749338;14.043158;9.9295124;8.6400355;7.5575296;6.9972241;6.9942647;7.3604744;6.6055827;6.4198276;7.0814159;8.6282803;20.226209;20.646155
Venezuela;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.322308;24.680696;19.096808;19.315461;39.980885;37.869907;28.141221;24.462774;16.450288;19.075657;15.387861;18.920403;25.004401;31.663263;30.13115;33.254861;25.161411;11.05468;5.0541076;23.117333;182.44794
Vietnam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31.431669;32.276615;35.185748;37.882478;37.446323;36.541536;38.406899;40.897152;39.418907;45.166601;48.084005;45.560593;48.130163;51.674497;54.715964;57.097769;59.662135;58.222786;55.562128
Yemen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;91.565431;82.685029;78.022149;76.74738;73.349757;84.107591;114.90499;74.156532;110.59523;96.050252;60.840745;60.568578;57.827228;56.823012;52.068094;43.80071;40.842372;40.407906;36.421266;49.842358;42.379573;45.725985;47.312378;48.199762;48.722145;65.47491;79.591086;84.282138;64.752349
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©IMF, 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
