"country_text_id","year","water_ugdp_cap_oecd_num_env","waste_ugdp_cap_oecd_num_env","GHG_ugdp_oecd_num_env","CO2_ugdp_oecd_num_env","CH4_ugdp_oecd_num_env","N2O_ugdp_oecd_num_env","SOX_ugdp_oecd_num_env","NOX_ugdp_oecd_num_env","CO_ugdp_oecd_num_env","NMVOC_ugdp_oecd_num_env","GEP_env"
"LVA",1997,1.14292819288677,1.6796555862893,-0.980561312268014,-0.828723583148213,-0.91870163268237,-1.75400632776586,-1.03351876646064,-1.28173964363319,-1.97557468884045,-1.59427620983656,-1.24974062517681
"LVA",1998,1.18434090898176,1.75065902770492,-0.754102218002102,-0.60146705318107,-0.781228499051518,-1.59484646069857,-0.907015157705634,-1.05133058390944,-1.81596152650371,-1.40793476271672,-1.0427076699307
"LVA",1999,1.4739739461351,1.66866398775214,-0.547095877706451,-0.386840172960232,-0.654821061205989,-1.47292507367932,-0.722325142677116,-0.950692741007117,-1.74394508441291,-1.284882540044,-0.886752885706786
"LVA",2000,1.57279055330808,1.53322961829779,-0.300846884627041,-0.089500210032068,-0.571132291953536,-1.37504507007541,-0.263874236766216,-0.783284175097908,-1.55411910223892,-1.12915257048985,-0.60931712496533
"LVA",2001,1.63932719898377,1.23456256236106,-0.243749203919526,-0.0383240653998249,-0.524789182530283,-1.32489957687446,-0.0681763307429666,-0.765621163933512,-1.43570983981424,-1.08253421839496,-0.520365964102301
"LVA",2002,1.63484181294274,0.916057989180634,-0.0865053892785427,0.107456125081006,-0.415368638876046,-1.17975473354441,0.0463936004149818,-0.614142993733995,-1.28235691939545,-0.937907705542311,-0.368433466897818
"LVA",2003,1.63293704011804,1.24575921035761,0.0643169647380038,0.235853793180869,-0.250685390847893,-1.08169367606549,0.182530057214417,-0.536746180320146,-1.16742366943583,-0.785713932932943,-0.248509043579452
"LVA",2004,1.69783775676529,1.12217953167177,0.257991244813018,0.427342361981091,-0.117618035350162,-0.928255441986169,0.371139797646748,-0.37575252575641,-0.991313842582424,-0.629434019813864,-0.0600828980893945
"LVA",2005,1.63030888966618,1.1095710418764,0.465668293701612,0.651929865269571,-0.00606942580733782,-0.786160611390354,0.50521617905023,-0.170490837865989,-0.721539595040763,-0.438212118009912,0.145570711298825
"LVA",2006,1.71705192247702,0.921490506767142,0.643937122374287,0.800568401406145,0.168690268822199,-0.604470927945304,0.61254393423504,-0.0220237538560597,-0.556056065944314,-0.254170516913479,0.302541342801272
"LVA",2007,1.71353307010361,0.537265140063727,0.795698831888822,0.959148594096017,0.267242549374884,-0.492400078577119,0.707251048410734,0.11101582817562,-0.337090143548098,-0.080051328496054,0.448284448926171
"LVA",2008,1.67681562465444,0.89920514178781,0.83502390961438,1.02738623468349,0.272810431370494,-0.502545949648234,0.804521480413121,0.203456013643475,-0.262225775352583,0.0402936562448225,0.531414485992654
"LVA",2009,1.20898782621053,0.848892590571729,0.676740892823623,0.924536090474809,0.111976731581798,-0.70333909105242,0.73099859610657,0.0918152773880619,-0.460804011210481,-0.13081944375961,0.393223591508532
"LVA",2010,1.50675645111072,1.07245759277237,0.45679823422218,0.614649853631492,0.103467525619228,-0.763300114296848,0.952733154998967,-0.0320629606634929,-0.274231251854722,-0.122239635697144,0.373626567198389
"LVA",2011,1.23543823626945,0.862585000661742,0.724137305640499,0.939398486902509,0.218200622434132,-0.652650078259977,1.00865674893078,0.160908595069188,-0.225632431314383,-0.0443917887770845,0.537051768592173
"LVA",2012,1.52707248586888,1.08076116609061,0.856354820748415,1.12752131374554,0.252751735706954,-0.632257255917277,1.02552159088073,0.245275565175831,-0.18788087140429,0.00123262871667326,0.619314229666035
"LVA",2013,1.69265178426487,0.863282246874834,0.943589968085403,1.24828931970963,0.276702190391651,-0.591829388878277,1.12942440522475,0.284096365130435,-0.0586970582238608,0.0662613565180628,0.703452396880729
"LVA",2014,1.78763277589509,0.748743211675353,1.02639284594937,1.38334404613075,0.281840307957937,-0.570540627468127,1.1579135908481,0.333316643979396,0.00586940098919974,0.0887795370445648,0.761772109240505
"LVA",2015,1.78350171313886,0.443517948739014,1.08731941098693,1.44299993394039,0.375017093749568,-0.561543531810009,1.23798903622977,0.390217611163146,0.197718847204314,0.191935747824698,0.845757924990707
"LVA",2016,1.61128650741832,0.398541897546195,1.14381044116425,1.52738063512832,0.376930171603118,-0.514877355936753,1.28402293145208,0.476905117150691,0.245929083646031,0.286936977812692,0.911522927589926
"LVA",2017,1.59215147593936,0.459563890758615,1.26209628041776,1.68113432809708,0.428679147558424,-0.44338433017052,1.23152423350212,0.529732636254227,0.24029038750423,0.366618276481237,0.948024795640015
"NLD",1990,-0.114784923245682,-0.233279790522801,-0.963219734353157,-0.914065344889417,-0.763283795897215,-0.988126770132467,-0.0737400882504105,-0.863641215384867,-0.148182469518375,-0.870056443801511,-0.609078918391616
"NLD",1991,-0.13745995968987,-0.22460496165523,-0.916885787340106,-0.900297253140628,-0.711669735857147,-0.923495017150323,0.00852998920499044,-0.758544005693225,-0.00952359625761013,-0.710470222116321,-0.514630460900599
"NLD",1992,-0.192085857547764,-0.398739621039505,-0.847926612604268,-0.823223695798501,-0.654035065991352,-0.890783587358761,0.0697922175368225,-0.669114041802299,0.0625618785165703,-0.548956849013711,-0.435652530769432
"NLD",1993,-0.122102876575633,-0.580667073486989,-0.784254667961555,-0.7552883478435,-0.597811879351413,-0.862463282044279,0.133479333020718,-0.58557431257145,0.11994987320604,-0.446927475124671,-0.359534044253257
"NLD",1994,-0.0568233573216198,-0.612527998828627,-0.693612876709369,-0.663820364029115,-0.503904653083201,-0.761378858528497,0.218813679555298,-0.423940973963618,0.212734631114926,-0.290058423885928,-0.233695366745663
"NLD",1995,-0.217465783088843,-0.523162496553309,-0.603428779025691,-0.589361304688389,-0.423953532110001,-0.692516857819479,0.301811802100432,-0.325729663740941,0.265570998060417,-0.14355529375926,-0.144274896892863
"NLD",1996,0.228153158784881,-0.604963933673204,-0.59257887905594,-0.590361124601159,-0.340347380057566,-0.628125549893346,0.392869944182476,-0.222876198683278,0.329173172249765,-0.00834376847767364,-0.058533416768723
