"country_text_id","year","imp_1","imp_2","imp_3","imp_4","imp_5","imp_6","imp_7","imp_8","imp_9","imp_10"
"PAN",2011,-2.26522180065273,-2.28491385935322,-2.28684646399627,-2.25599285715033,-2.28465616218406,-2.25975332643164,-2.26062283772891,-2.27379588079401,-2.28622973010168,-2.27107015110743
"PAN",2012,-2.25106383448919,-2.25973527633797,-2.24845633557206,-2.27621357080042,-2.29414917385892,-2.25298344564596,-2.23088428050623,-2.25096012964659,-2.27516262373978,-2.24593708626353
"PAN",2013,-2.25093448662843,-2.24401330446657,-2.24421105328292,-2.26835145909923,-2.27778321377217,-2.25526641851476,-2.22943871832505,-2.26295960705538,-2.26450622054565,-2.25485329319576
"PER",2004,-2.75210361234058,-2.79083657412212,-2.80639978474875,-2.80202576007537,-2.81227576371475,-2.78864997585665,-2.75028914947225,-2.80240059148467,-2.80395295717787,-2.81177193795255
"PER",2005,-2.76125978702743,-2.74667210596076,-2.73734040800784,-2.73348390940386,-2.7813321235349,-2.74056291361798,-2.73741256262648,-2.73483550847309,-2.74492316165042,-2.74517852467325
"PER",2006,-2.69924330633265,-2.68764144371528,-2.69207808977784,-2.68446136628655,-2.7086351207281,-2.69820363126485,-2.67117251379379,-2.69958025876113,-2.72277552498669,-2.7120308225917
"PER",2007,-2.62039784038758,-2.63856118978239,-2.65131752542132,-2.65237000604955,-2.6700884926047,-2.64739656023502,-2.60252902620691,-2.66992528746074,-2.65311676216507,-2.6192208696647
"PER",2008,-2.57133168743428,-2.59914139162843,-2.57504130465529,-2.5946326705448,-2.60462342057883,-2.59752002445337,-2.56079480975735,-2.61230430673241,-2.59693430151283,-2.59222316661952
"PER",2009,-2.52191226023809,-2.55243056826142,-2.54868123012246,-2.53869312098088,-2.56696127636015,-2.52970831065625,-2.49611342761562,-2.55721586032365,-2.5295757739759,-2.51801031522876
"POL",1990,0.437892198874943,0.451505933435731,0.442158978447025,0.449351709647647,0.443712197462262,0.425938968631094,0.436721039437163,0.431208814820272,0.441612564012468,0.472526533510795
"POL",1991,0.55964346566221,0.572464778889792,0.579883063828681,0.550032031028663,0.564185155995691,0.548220557671208,0.550647529615967,0.570370175238253,0.571559346889138,0.578628680820592
"POL",1992,0.678112306703322,0.681001784501066,0.691838407745012,0.676307533819081,0.675083967638276,0.684130459839903,0.673283865897685,0.655075146007892,0.664159499163413,0.690905382971278
"POL",1993,0.27139650817074,0.248751336661713,0.25484280890736,0.280823967116786,0.262273312683028,0.245435927708866,0.264728741333695,0.256071093167509,0.275675367884799,0.257970627878242
"POL",1994,-0.0829954250936844,-0.0982320835458464,-0.0671687397305566,-0.0618254353173082,-0.0759134928952337,-0.0867361105228867,-0.1068249075216,-0.0533684473065378,-0.0859683933660169,-0.0503707649463188
"POL",1995,-0.333426967515253,-0.349779040229603,-0.375906145532532,-0.360279314038791,-0.361064382969754,-0.382563922222545,-0.364668303932348,-0.352037820221214,-0.370620871947024,-0.350480576278456
