"country_text_id","year","order_safety_gdp_perc_oecd_num_ds","order_safety_gdpcapita_oecd_num_ds","hom_rate_unodc_num_ds","theft_rate_unodc_num_ds","burg_rate_unodc_num_ds","crime_rate_unodc_num_ds","orgacrime_gcr_num_ds","reliab_police_gcr_num_ds","trust_gwp_num_ds","domsec_ds"
"ROU",2015,0.250953946301247,-0.822267517874607,0.710412452004139,-0.105063412919711,-0.4831493919085,-0.286584758748076,-0.391606897985519,-0.0501921499218005,-0.089381189655474,-0.178248848224253
"ROU",2016,0.13683230762808,-0.614089168241478,0.859060513248499,-0.218478635178896,-0.528599487681117,-0.388326825950394,0.0239395210554619,-0.0703124556460669,-0.0094222961077813,-0.0967329711098072
"ROU",2017,0.381393854177437,-0.383964095125262,0.715861188160674,-0.566186199583204,-0.799064302623988,-0.764767177777815,-0.212597253823697,0.00878928527005266,0.0859258202194051,-0.00354344091704556
"SEN",2010,0.685446374285069,-1.2585428605666,-0.012733663129377,-1.8722352597422,-1.66419271116808,-2.05434687028463,1.07515429079058,-0.0325946092918876,0.5100688061569,-0.474693398683471
"SEN",2015,0.853705088935937,-0.695091900618615,-0.0298363007651279,-1.92426764189941,-2.02013757680647,-2.07617285337387,-0.235107223484516,0.295522683560029,1.1506211305701,-0.0520045868780671
"SEN",2016,0.451006594608806,-0.832976649415506,0.100299510472594,-2.57557889348961,-2.02448558030006,-2.55879538031245,-0.163705813357891,0.641658027461975,0.878325931817576,0.222200618007112
"SLB",2004,1.12103200709165,-1.60624577854214,-0.160928005412686,-0.959920197061917,-1.01611267937345,-1.0863324288694,-0.127387919338153,-0.458806783900568,-0.524053714569639,-0.957468279881705
"SLB",2006,1.10844030926319,-1.53368486037554,-0.247159617449339,-0.958661906427778,-0.873766937992468,-1.03484586032867,-0.505574523922751,-0.659963606094417,-0.655713750912983,-1.12171466829593
"SLB",2007,1.20883749226945,-1.3867904179081,-0.335652583758625,-0.94668743172813,-0.909462542930513,-1.04008412133674,-0.409913804342832,-0.759944340044575,-0.603566439867076,-1.18332422748036
"SLB",2008,1.29489505968866,-1.08718082230701,-0.0423741010454303,-0.952352399246455,-0.954205618973197,-1.05989785689653,-0.186106119765374,-0.558752708090514,-0.527211862613317,-0.859269343432473
"SRB",2006,0.935775412456416,-0.522849923808617,0.371885832613805,-0.708117236761183,-0.29295092590627,-0.639663980372794,-0.819736246226363,-0.251048529890587,-0.535452738509891,-0.342069368727588
"SRB",2007,0.937775239547213,-0.307861956583931,0.2801917989176,-0.692601764909017,-0.31895781198391,-0.642215989521206,-0.680251138884693,-0.150045614447951,-0.535452738509891,-0.22225328655502
