"country_text_id","year","water_ugdp_oecd_num_env","waste_ugdp_oecd_num_env","GHG_ugdp_oecd_num_env","CO2_ugdp_oecd_num_env","CH4_ugdp_oecd_num_env","N2O_ugdp_oecd_num_env","SOX_ugdp_oecd_num_env","NOX_ugdp_oecd_num_env","CO_ugdp_oecd_num_env","NMVOC_ugdp_oecd_num_env","air_env","abstraction_env"
"AUS",1996,-0.732479627229097,-1.27643331364595,-1.68115933171512,-1.64940573200161,-1.98913500409038,-0.476583680238436,-1.42798305281222,-1.92116355800444,-1.60182866277769,-1.63805613315196,-1.71711121227801,-0.725846354073684
"AUS",1997,-1.06473148375679,-1.32214953815007,-1.6118671834932,-1.57618528212154,-1.94098328657331,-0.456516849063692,-1.40439093270397,-1.87237425798889,-1.53615124430818,-1.54176549852191,-1.65813585260017,-0.95187411942144
"AUS",1998,-0.848553992244679,-1.16260829651124,-1.55713201965448,-1.54504150093458,-1.85415917982044,-0.399602328667405,-1.32791162515118,-1.81572272298094,-1.40908085310105,-1.43117918777593,-1.59840447207682,-0.760354095346505
"AUS",1999,-0.748407044833662,-1.01540154636306,-1.46620016044719,-1.48236169782988,-1.73220112454162,-0.360034917988474,-1.32168025068232,-1.75360103684433,-1.32070900498152,-1.30342745068679,-1.54173060321309,-0.683101230933794
"AUS",2000,-0.553847340298383,-0.846999698310842,-1.40883328620462,-1.41133786280911,-1.70605908371555,-0.359796285837792,-1.47171845074654,-1.68141847943691,-1.18457201765649,-1.18734651911827,-1.51553111366425,-0.601401522312403
"AUS",2001,-0.659848522720592,-0.637281286551778,-1.34576265065588,-1.35731631402962,-1.62778993367365,-0.319591703086331,-1.51154696644464,-1.6760617318611,-1.08039209757977,-1.09777859703038,-1.49485844884647,-0.643545158167532
"AUS",2002,-0.421688719785191,-0.616664888134067,-1.25048289281056,-1.26717969634215,-1.53576288628347,-0.281455842152372,-1.52291010318668,-1.65101365823225,-0.992352902158459,-1.04136192770126,-1.4676841677424,-0.489359027510804
"AUS",2003,-0.30289351022549,-0.32946173566993,-1.17064706183349,-1.21777805135464,-1.41898873871135,-0.144865938519195,-1.48764729513778,-1.64241340374057,-0.838610370957215,-0.949389651294377,-1.4305851534348,-0.336931122757246
"AUS",2004,0.028545946119303,-0.177114281309816,-1.10624508189551,-1.15137195470458,-1.35678933920263,-0.166544279199461,-1.35730076430638,-1.57684698565325,-0.789254254835684,-0.861712374217622,-1.36321497458731,-0.0630251420644013
"AUS",2005,0.233837442496094,0.03261408401011,-1.01447190170426,-1.04928612340178,-1.30315541413364,-0.0964345392679111,-1.31426300234131,-1.50219150182349,-0.580750030370193,-0.755249875001853,-1.2865952979091,0.118695404315153
"AUS",2006,-0.137389073945502,0.146575556156614,-0.921206117243323,-0.965110900786215,-1.22600692339259,-0.0196664798632222,-1.25872644767835,-1.42378081033919,-0.51530884314425,-0.686887362871215,-1.19716470751023,-0.106342998972532
"AUS",2007,0.233034588230512,0.450400750770629,-0.813554879373152,-0.865306017572351,-1.13783888270668,0.167831189614093,-1.19458058456106,-1.33460145553144,-0.292712749889017,-0.562930571256524,-1.10881160205571,0.202699590182802
"AUS",2008,0.110411911348708,0.537397085596916,-0.740907366076284,-0.797028624284868,-1.0632085876132,0.207174481531801,-1.18068459184257,-1.30250731812533,-0.200939309452746,-0.501885957657652,-1.06350685806268,0.14026957526806
"AUS",2009,0.345886026480859,0.565166602720738,-0.70492488877637,-0.760798797949911,-1.02068622705077,0.216682109341238,-1.18670501033155,-1.24472440482557,-0.154008892077707,-0.479629007124152,-1.03083252628399,0.279474500886126
"AUS",2010,0.440864653659083,0.615035335594773,-0.62603022581278,-0.681399208977324,-0.954471951298414,0.26823776845535,-1.0939891349033,-1.2497775104697,-0.0675316906080959,-0.435938209640937,-0.997688574807136,0.398727242592627
"AUS",2011,0.501628443574367,0.781759773009252,-0.539598741177253,-0.575561036805855,-0.918599296930812,0.281582003814631,-1.09724649901965,-1.14690231049921,-0.00269623108015753,-0.372200772686476,-0.921416213583123,0.431030997976626
"AUS",2012,0.375581495991093,1.00163201212105,-0.441147138323485,-0.475864819539594,-0.842896335508434,0.33272026159861,-1.05810866001769,-1.15704076962903,0.0650669876386348,-0.306579338185894,-0.889176696886825,0.409960897239409
"AUS",2013,0.191192838975883,1.16815638430444,-0.333970941682599,-0.355620161135157,-0.787927086938438,0.456813780310831,-0.998066527051816,-1.14241500478116,0.124249343553306,-0.275175638118371,-0.837187136075466,0.340185808554956
"AUS",2014,0.282760470084047,1.36716887441495,-0.232238351985844,-0.243873764616876,-0.710852925177985,0.484975394093315,-0.990923671592313,-1.09014157177953,0.191157163779881,-0.251798036845955,-0.784192044934582,0.421086317441854
"AUS",2015,0.385486252786089,1.4335937885084,-0.203699692339837,-0.221247472662538,-0.675140620474001,0.562401331385386,-0.931332588646536,-1.05008312459815,0.241361934824025,-0.220319199514502,-0.744505829201513,0.513725593896405
"AUS",2016,0.509714196579018,1.70765830124648,-0.173402295522137,-0.197963528621993,-0.638574370573946,0.608964321614957,-0.927527057060784,-1.02685684026527,0.304074260985449,-0.171666025021866,-0.721259603792243,0.638417576757169
"AUS",2017,0.466305604804556,1.6513352055291,-0.119290842665086,-0.132079385076739,-0.606120782231358,0.555960343910007,-0.842525167289152,-1.00360939943821,0.286274328005273,-0.141411455735218,-0.682853412388675,0.62354184258296
"AUT",1990,-0.101427034504813,-0.407922160451205,-0.35835971436006,-0.488826080251896,-0.346501132623079,-0.0908837968332465,0.0865771571089828,-0.415496479681886,-0.919384129221738,-1.05066050288161,-0.320471780410331,-0.0689829813967964
"AUT",1991,-0.0926619565806675,-0.136116710081277,-0.318579986506541,-0.467418538803013,-0.254639290278338,-0.015687395715393,0.156768492204806,-0.371136061167215,-0.84582042787334,-0.916913170317608,-0.266423647744296,0.000189325484279374
"AUT",1992,0.198872010656682,-0.0546675360798474,-0.0836311408706569,-0.209703346743381,-0.171684930694607,0.0952792146213694,0.356971711815633,-0.234989330615684,-0.751312398163652,-0.743573914035533,-0.112531700016443,0.240849612022596
"AUT",1993,0.1926495993977,-0.120043892908132,-0.0350516014652158,-0.164804886305627,-0.128611221517348,0.122650118396261,0.393260984667861,-0.141938887316337,-0.669546962303445,-0.609547566800961,-0.0408590306463013,0.215622285842024
"AUT",1994,0.264688318940766,-0.0386191019163064,0.0411966803870071,-0.0885852729848905,-0.0421016243726954,0.194016271953077,0.494886853636134,-0.0279480598554421,-0.568997342696916,-0.438523773299608,0.060847952601856,0.285245458713413
"AUT",1995,0.272105829994391,0.0359415075116004,0.0480651497856566,-0.0922538453968079,0.0213986770692193,0.224850598885368,0.53008444380388,0.0375521891586506,-0.423682363890951,-0.299557625100852,0.115780977329862,0.310190161789471
"AUT",1996,0.395183260008035,-0.139987879405142,0.0505165230183248,-0.112270949400426,0.107758757520446,0.269353459235742,0.596422725530646,-0.0312379089855906,-0.391069009587947,-0.205127579597158,0.0869711041140457,0.420164515482459
"AUT",1997,0.461866629945425,-0.127923112165935,0.130891372649043,-0.0303792549055987,0.190426368476528,0.310168206710502,0.675289049791494,0.108609446941521,-0.287266235090084,-0.0867866938704343,0.198503170988732,0.456597987784946
"AUT",1998,0.316605328877534,0.00572281730341105,0.232485315234816,0.0738442574690334,0.268327116475921,0.355628481780606,0.786893823301752,0.090714448803686,-0.200541307787082,0.0156321981226532,0.24182638865741,0.444260009193932
"AUT",1999,0.36375371931028,0.0151656753648234,0.360330842094279,0.212847224436204,0.350520684726369,0.42141530991524,0.854778420503971,0.214108351406569,-0.0201508236563197,0.134608772080484,0.356822699554442,0.47828180079184
"AUT",2000,0.566068523130745,0.0749382734136512,0.455913074099014,0.307012190221053,0.439290958558314,0.498129764272335,0.934053630926643,0.254233133130039,0.0275599505020497,0.354839096731534,0.408880082483167,0.641188487391303
"AUT",2001,0.465977334017106,0.186422162471785,0.431388688201167,0.258936778483402,0.503037473515785,0.579813127542988,0.938066120443673,0.238517348820917,0.0879957832106899,0.433260522159634,0.405921232027128,0.609399988708775
"AUT",2002,0.654243983316986,0.093499585971224,0.452063235267483,0.271278050138627,0.562322569934786,0.620297513076387,0.979844237273962,0.246986447701607,0.153818155155509,0.508256254514497,0.419247907531404,0.739696823234543
"AUT",2003,0.573614708690272,0.165237503287306,0.385004522036699,0.174571636767315,0.60518071141205,0.659481861436958,1.00075601275829,0.232857307759755,0.169603761797369,0.559048099269131,0.408341911410001,0.715702754783379
"AUT",2004,0.53666683970648,0.275411778771934,0.492836158718604,0.279394801092949,0.670191910762024,0.927791846795071,1.14229190314614,0.325065362692694,0.235911977121908,0.726266030635299,0.513347380954474,0.73806195770069
"AUT",2005,0.667032406278661,0.407956285027486,0.567513868475396,0.348676548922378,0.780356385126105,1.00239870945334,1.22075773465723,0.388009375493092,0.382279305286084,0.790750558055806,0.584369784239138,0.86978821470948
"AUT",2006,0.691223663321221,0.47667790547588,0.737841552751558,0.541192130586094,0.877001683751477,1.08846982174648,1.24336041662074,0.558076716933819,0.45690386275117,0.85200394679449,0.718055329674392,0.847304921101041
"AUT",2007,0.744990874664217,0.663467700376677,0.91484525550957,0.74653994419633,0.976080195994663,1.17255248942221,1.38974981051119,0.716098679860966,0.567986209166271,0.972932900558393,0.873742482491079,0.922420241526091
"AUT",2008,0.981883633400005,0.742405196503405,0.994533833208206,0.841203838939128,1.04230348963605,1.15126783099036,1.53098425826425,0.879497117977726,0.637798326509053,1.06421479230918,1.00300507255949,1.0926626303067
"AUT",2009,0.948429974517082,0.692536298499682,1.08594978370125,0.960827953491119,1.01443966879247,1.19297501526407,1.79468784136303,0.950560273835968,0.641921074445343,1.15121411189488,1.11032068059202,1.14209407891484
"AUT",2010,0.850129472831633,0.941024860428107,1.03936194512133,0.884044691457511,1.07038957681208,1.32096971406998,1.74127489011857,1.00054588989247,0.644279594094192,1.18108860434834,1.12606119316873,1.07765123198651
"AUT",2011,0.830612517153975,1.03391720412292,1.1908138951349,1.06086291514127,1.17472437219118,1.35434979737603,1.84743367397922,1.16560020489878,0.743615068646376,1.31724035954673,1.2733874814863,1.07001478650067
"AUT",2012,1.00435288433751,1.0687471061347,1.30826971298313,1.20826043062419,1.23294585764443,1.41013714595999,1.91721587535901,1.26020103176555,0.767554879309134,1.38811902661184,1.35627393470426,1.18222482598353
"AUT",2013,1.10309121884771,1.11511063922939,1.33042444100228,1.2299222353875,1.26975738487656,1.44020330077869,1.94798017005689,1.28264003015685,0.712109802978526,1.36017989160784,1.37200843059489,1.25036627518341
"AUT",2014,1.00545388992925,1.25968277111399,1.47876538260451,1.43023795008843,1.33583775942674,1.44198120565577,1.96664512358696,1.41713064953649,0.815638340585224,1.56477670298492,1.48878557616079,1.17639309185947
"AUT",2015,1.17898438030671,1.33890146852726,1.46453374186517,1.39745521548171,1.38408767847926,1.4766485231637,2.06088959685254,1.50083858516154,0.804484393799602,1.55007815936816,1.54480819440491,1.30776501007237
"AUT",2016,1.05971518762838,1.38359798866139,1.51014920819635,1.45348740930769,1.44415688354609,1.48755618330495,2.15872418646996,1.62312542578308,0.842138365461324,1.62432791442131,1.64627891433497,1.23436306916404
"AUT",2017,1.3774785525232,1.41070155716949,1.53328635131091,1.46659286811214,1.51767333662957,1.59569383084111,2.35679099375223,1.80843682736345,0.896541089457639,1.73804342186111,1.78370604228998,1.46328893683763
"BEL",1990,-0.334977528727081,0.064666983067894,-1.10175090256079,-1.35336588502563,-0.269544624899761,-0.904450722142742,-0.852627602645109,-0.96590944215035,-0.849285359409952,-0.732502836642756,-0.918655125899132,-0.296259715807867
"BEL",1991,-0.472097449474853,-0.0751829935419001,-1.03840710831784,-1.29937203349651,-0.205141810037481,-0.820785776524987,-0.820321303160776,-0.854453380310166,-0.761332737457916,-0.599155456590688,-0.831275554164247,-0.426854755775599
"BEL",1992,-0.473612746542499,-0.230241653528238,-0.960955951862447,-1.20764992327028,-0.152368160716085,-0.735783712411247,-0.775701606791563,-0.76201125777767,-0.700884233251563,-0.516190636298879,-0.756085344486278,-0.462924182189519
"BEL",1993,-0.320956512301481,-0.23639201411372,-0.921453532213285,-1.16137104958355,-0.131555638952851,-0.75453483891453,-0.712901689112874,-0.721148667864795,-0.616226138562261,-0.459708903224261,-0.713720912556646,-0.343850493087881
"BEL",1994,-0.535596543280149,-0.0951259494847801,-0.879457510767613,-1.10980229439383,-0.0746539415668312,-0.736703520148901,-0.578455851817548,-0.647107785384781,-0.4765124683141,-0.314278079611971,-0.620339425576585,-0.417691212156937
"BEL",1995,-0.524711203401522,-0.216590987192347,-0.821760941383413,-1.03861968883385,-0.030985608568115,-0.737550288150646,-0.46434770203951,-0.579616748842345,-0.417483016754676,-0.226835479368161,-0.548886047738864,-0.402339576971153
"BEL",1996,-0.370283909813921,-0.0860243980134573,-0.801473904048977,-1.02535256321201,0.0236026110707689,-0.743641690204453,-0.414168092875555,-0.491005063880076,-0.356783621181402,-0.14397438643857,-0.48603159864995,-0.286511518708614
"BEL",1997,-0.326402688051575,0.0198788330271046,-0.596208098269337,-0.830270665191732,0.0965636488528736,-0.642988416390283,-0.314190628877022,-0.375384550374574,-0.213152967442531,-0.00897639783969516,-0.356019404337823,-0.229801709318173
"BEL",1998,-0.254813576838874,0.142559748187998,-0.602239316448627,-0.866911603794043,0.148838492263113,-0.586242373328796,-0.251333858809609,-0.34567348195416,-0.138209352313377,0.0657085284389808,-0.323990150242731,-0.139411404439714
