"country_text_id","year","wealth_eco","productivity_eco","GEP_env","arate_ccp_ga","eco_equal_soc","soc_equal_soc","domsec_ds","conf_pc","cluster2","cluster3","cluster4"
"CZE",2000,-0.298682363596094,0.21698362034277,-0.426102802645045,0.168122182058932,1.25691569232903,0.443001849919417,-0.926667924403288,-1.6238172891248,"Laggard","Middle Performer","Middle Performer (high SP)"
"CZE",2010,0.285242432097328,0.730398989531354,0.396822696929678,0.168122182058932,1.3559639701228,0.430236216793019,-0.57443043397137,-1.55456406450231,"Top Performer","Middle Performer","Middle Performer (high SP)"
"DEU",1990,0.00733901380627012,-0.0286502883128381,-0.355019548947564,0.76915634865716,0.904216056714524,0.479793591284682,0.342565319537101,0.345369148636419,"Top Performer","Middle Performer","Middle Performer (high SP)"
"DEU",2000,0.617969792713488,-0.340059453389362,0.663009996218844,0.76915634865716,0.719942173310979,0.559233693190368,0.907096644465934,-0.307292029468042,"Top Performer","Top Performer","Top Performer"
"DEU",2010,1.1092145178249,0.892515965212486,1.33454828911239,0.76915634865716,0.344914520520081,0.668896731746798,1.02745207891507,0.321967554713399,"Top Performer","Top Performer","Top Performer"
"DNK",1990,0.095933570107425,0.293038120774333,-0.753109146779697,-1.97913199596877,1.584945226564,1.07086301588629,0.477453007266406,0.760385129827673,"Top Performer","Top Performer","Top Performer"
"DNK",2000,0.758942287393234,1.11640440373294,0.410426947645897,-1.97913199596877,1.47701737459195,1.0636251907455,0.800495856614276,1.29490376400374,"Top Performer","Top Performer","Top Performer"
"DNK",2010,1.16455856024723,0.26983898060756,1.33985905994877,-1.97913199596877,1.2482239044205,1.10691779843847,0.81617907060566,2.2253588836918,"Top Performer","Top Performer","Top Performer"
"ESP",1990,-0.454227195685623,-2.44607109643824,-0.716267905400641,-1.05855201481087,-0.589970055971408,-0.134572054159941,0.136884116763068,-0.0138511723913621,"Laggard","Middle Performer","Middle Performer (high SP)"
"ESP",2000,0.290045671965741,-0.890906250217029,0.117843546682919,-1.05855201481087,-0.518176768850731,0.182586394681583,0.506343629183384,0.602572216606426,"Top Performer","Middle Performer","Middle Performer (low SP)"
"ESP",2010,0.640930164767582,-2.82813676033219,1.04310826449634,-1.05855201481087,-0.797658635500239,0.641519484699749,1.12108111167705,-0.500722761472335,"Top Performer","Middle Performer","Middle Performer (low SP)"
"EST",1990,-1.84104834826533,-0.265320803279569,-2.27800642477552,-0.565704597959996,-0.758992708066213,-0.155041269216675,-1.45458221598811,0.279308972345907,"Laggard","Middle Performer","Middle Performer (high SP)"
"EST",2000,-0.612780650654941,-0.38742346894771,-1.08035577693808,-0.565704597959996,-0.588774456642365,0.310704261357755,-0.507097895961942,-0.391388224527283,"Laggard","Middle Performer","Middle Performer (high SP)"
"EST",2010,0.0672262638145564,-0.309699237090453,-0.384880039696783,-0.565704597959996,-0.83468429438375,0.405396750795302,0.258284884771344,0.491649017840948,"Top Performer","Middle Performer","Middle Performer (low SP)"
"FIN",1990,-0.301558968395328,-0.891807850784667,-1.05741388465394,0.559099878479647,2.13955257990081,0.764958050724041,0.13668979164242,-0.201257349465578,"Top Performer","Middle Performer","Middle Performer (high SP)"
"FIN",2000,0.57211705687723,-0.205179001731221,-0.0874168803307156,-0.59364102695886,1.01318223690565,0.707968066728282,0.687785468799561,0.901121297548715,"Top Performer","Top Performer","Top Performer"
"FIN",2010,0.961288296599608,-0.239478888607583,0.646390831670253,-0.59364102695886,0.881432661898106,1.0421206825319,1.12617974786745,0.221051296525702,"Top Performer","Top Performer","Top Performer"
"FRA",1990,-0.112602390583203,-0.620205170488269,-0.351953750919546,-0.0179424008720253,0.503107283847887,0.424981266654653,-0.0969413466960921,0.437606579543753,"Top Performer","Middle Performer","Middle Performer (high SP)"
"FRA",2000,0.522125164709345,-0.251998185626502,0.566945499990664,-0.0179424008720253,0.571913609400854,0.438315631116594,0.39445025542133,-0.11627436136446,"Top Performer","Top Performer","Top Performer"
"FRA",2010,0.929967279019496,-0.607900570180024,1.44075239554596,-0.0179424008720253,0.50251586845496,0.499994376209226,0.64172792524368,0.272226450518317,"Top Performer","Top Performer","Top Performer"
"GBR",1990,-0.293005708811662,-0.0926371192664504,-0.994316446404433,0.254792293412784,-0.756016494636483,-0.573103541651232,0.102583854639099,0.799300373994637,"Laggard","Middle Performer","Middle Performer (low SP)"
"GBR",2000,0.473350398154489,0.774581087498088,0.265110938058139,0.254792293412784,-0.538957017993114,-0.418229332935356,0.667617424480478,-0.0615025936655006,"Top Performer","Top Performer","Middle Performer (low SP)"
"GBR",2010,0.890177200838127,0.385169723497474,1.286343068479,0.254792293412784,-0.252760318201223,-0.306155164591687,1.09429233287288,-1.09323223824489,"Top Performer","Top Performer","Middle Performer (low SP)"
"GRC",1990,-0.744452942451771,-0.475646596451974,-1.14350168092142,-0.894368988783753,-0.606846778082276,-0.244920948518913,-0.769214930413166,-1.43483121688066,"Laggard","Middle Performer","Middle Performer (high SP)"
"GRC",2000,0.111447905890995,-0.548838159428094,-0.505112749521889,-0.894368988783753,-0.473970005985582,-0.0156060896636822,-0.442968655424654,-1.38329551102408,"Laggard","Middle Performer","Middle Performer (high SP)"
