"country_text_id","year","Combined_t_GI_num_soc","poverty9010_lis_num_soc","poverty8020_lis_num_soc","femlabor_wdi_num_soc","gini_wdi_num_soc","schools_gender_wdi_num_soc","pub_serv_gender_vdem_num_soc","pub_serv_social_vdem_num_soc","v2dlunivl_vdem_num_soc","Combined_t_GI_is_na","gini_lis_is_na","poverty9010_lis_is_na","poverty8020_lis_is_na","femlabor_wdi_is_na","gini_wdi_is_na","schools_gender_wdi_is_na","pub_serv_gender_vdem_is_na","pub_serv_social_vdem_is_na","v2dlunivl_vdem_is_na","eco_inequal_soc","soc_inequal_soc"
"ARG",1987,-1.53117561537004,-0.758263053394065,-0.615164739337906,-0.704890883585582,-0.55708662584955,0.00601114056386782,0.47097458188843,0.517710901838326,0.690724528047331,1,1,1,1,1,0,0,1,1,0,-0.497641866342168,-0.954598429829618
"ARG",1988,-1.57020975605244,-0.77514719172033,-0.837778679226168,-0.946400548299873,-0.594361017430965,0.0250007061776377,0.456268326861877,0.453203990235379,0.690724528047331,1,1,1,1,1,0,0,1,1,0,-0.680429833397683,-0.92145109232545
"ARG",1989,-1.55730976799031,-0.789162682424299,-0.763200015060056,-1.00340838134957,-0.63158671087058,0.171505805543563,0.510983648783117,0.499531292318102,0.690724528047331,1,1,1,1,1,0,1,1,1,0,-0.62241135376555,-0.864720710074431
"ARG",1990,-1.70158523227331,-0.94495957636156,-0.846866740098529,-0.842371859138399,-0.668768039595233,0.233823826590438,0.405787050012701,0.286101774137227,0.456194540759575,1,1,1,1,0,0,1,1,1,0,-0.729614470780957,-1.03918929538008
"ARG",1991,-1.89946992598184,-0.874857906764461,-0.966886849288688,-0.778427915658225,-0.705909306511941,0.580971682814656,0.347465150102339,0.358063156260437,0.448762252430033,1,1,1,1,0,0,1,1,1,0,-0.812410735526972,-0.942592593878719
"ARG",1992,-1.73056435126497,-0.917432609932447,-1.13718573195442,-0.70459730926069,-0.576972626441851,0.384988717663329,0.485969161383398,0.329438263074334,0.448762252430033,1,1,1,1,0,0,1,1,1,0,-0.950583360845441,-0.809144176589575
"ARG",1993,-1.66503207297457,-0.96057034080439,-0.848856710752798,-0.650541107245763,-0.517268677546884,0.326471482531303,0.381282629647556,0.383751077111785,0.448762252430033,1,1,1,1,0,0,1,1,1,0,-0.729561506753199,-0.96124036217233
"ARG",1994,-1.56658291104639,-1.13116975832554,-0.990900260829234,-0.597064114031281,-0.616701999215648,0.432954926918577,0.47879066714774,0.254341913511038,0.448762252430033,1,1,1,1,0,0,1,1,1,0,-0.877162507220554,-0.886718393366071
"ARG",1995,-1.69204417795431,-1.08472323093548,-0.957298065190884,-0.591433918619098,-0.913359015461769,0.318902934357354,0.452445277989857,0.336667352616916,0.448762252430033,1,1,1,1,0,0,1,1,1,0,-0.847922867144938,-0.969632095672941
"ARG",1996,-1.53922225222752,-1.02447417171635,-0.850861393084079,-0.539701461360215,-0.97252784763262,0.284944879151508,0.345270773040947,0.313944581013188,0.448762252430033,1,1,1,1,0,0,0,1,1,0,-0.7505964645856,-1.01578429375885
"ARG",1997,-1.6358673340085,-0.900738650952711,-1.22091165795915,-0.475162326834139,-0.933084590097759,0.176361313041565,0.468345649966892,0.471800491552659,-0.0723237404522702,1,1,1,1,0,0,0,1,1,0,-1.01919985134922,-0.758542029857622
"ARG",1998,-1.55217711566811,-1.32972998613781,-1.29767620812783,-0.433204292481164,-1.0908399485503,0.325674295724989,0.471549578319772,0.412873695847488,-0.0723237404522702,1,1,1,1,0,0,0,1,1,0,-1.17029915606385,-0.807314932208133
"ARG",1999,-1.64661316726412,-1.19937867893855,-1.22887122169731,-0.432791534247753,-1.0021058728024,0.686234386430251,0.480203178946839,0.389639118523542,-0.0723237404522702,1,1,1,1,0,0,0,1,1,0,-1.08702150523133,-0.720998560143128
"ARG",2000,-1.72689895592796,-1.26918748244059,-1.18497053916692,-0.417749369473013,-1.13028825659322,0.775726694600893,0.408486302747387,0.431044947929163,-0.0351622988045623,1,1,1,1,0,0,0,1,1,0,-1.07005554976659,-0.793230904748172
"ARG",2001,-1.50628768592225,-1.17795255964712,-1.35610000871382,-0.415829995094744,-1.34763862823076,0.804470194431775,0.492135545157305,0.35401429655638,-0.0351622988045623,1,1,1,1,0,0,0,1,1,0,-1.18545756360561,-0.604933507057221
"ARG",2002,-1.79700338740328,-1.21985963257074,-1.31607631479941,-0.455149215006319,-1.39718294754212,0.775673770852981,0.456159132151126,0.356221913035514,-0.0772785993386313,1,1,1,1,0,0,0,1,1,0,-1.16998474435673,-0.7719918229797
"ARG",2003,-1.76498573455405,-1.12867350466819,-1.23495085046472,-0.391258099395173,-1.0908399485503,0.761044728419295,0.416194594398127,0.428947029954784,-0.0772785993386313,1,1,1,1,0,0,0,1,1,0,-1.0806806992437,-0.742377496085018
"ARG",2004,-1.49547738606383,-1.00915002629418,-1.20150222932248,-0.325098812753556,-0.854158915756191,0.772510592796072,0.419187056613731,0.49054953302389,-0.0772785993386313,1,1,1,1,0,0,0,1,1,0,-1.01901992398215,-0.574936982375601
